filename,actual_plate,predicted_plate,confidence
830503.jpg,399993,J9999J,0.7106025843323662
830510.jpg,257345,I2S2JSS,0.3743389741148623
831502.jpg,2979,2979,0.9977138042449951
1340559.jpg,287938,282O2A,0.28647038093625393
769019.jpg,138998,'IJ8998,0.2734385921296815
769042.jpg,28328,28J28,0.6309720865146656
769069.jpg,106228,,
1232502.jpg,329853,J298SJ/,0.737063582665823
769883.jpg,83023,8JO2JI,0.8442859972559742
769901.jpg,300590,GOOS2D],0.38399225041014434
769923.jpg,359502,JS2SO2,0.5668247673862555
1003919.jpg,653037,GSJOJ2|,0.4410059292552885
1003936.jpg,165118,GSII8,0.48451094092590574
1003983.jpg,51968,SI9G8,0.783422097094285
1004012.jpg,190627,(4HR4M,0.260201671465745
1004028.jpg,382899,J82G99,0.6235960003783114
1004035.jpg,73049,7JOA2,0.9219559236201325
1004054.jpg,32789,J278P,0.7815627215648692
1004132.jpg,275730,27S7JO,0.22003153249210008
1004190.jpg,301125,,
1004217.jpg,582034,SS82OJA,0.18424586936987722
1004391.jpg,24109,2AIO2,0.9392782699008819
1004412.jpg,306707,JOS7O2I,0.21171501922196262
1004429.jpg,82728,{82728I,0.21016297690816893
1004437.jpg,137470,'J7A7O,0.1379358905864168
886621.jpg,93-LD-1231,9JLO,0.4909627437591553
1004610.jpg,94-TN-2243,LRL,0.25598543650707156
1004647.jpg,99-D-8401,99-D-8AOI,0.42445220165889014
1004671.jpg,93-D-120178,1RL,0.4663743873053283
895907.jpg,AS-7284,,
1120689.jpg,141-D-35898,IAI-D-JS898,0.702651441605357
996209.jpg,87-C-2885,87C298S,0.10869613858999062
1769921.jpg,ZV 45288,,
1769944.jpg,ZV 57984,2AS798A,0.4655708473729504
1005977.jpg,07-D-40426,4TH4,0.7988479733467102
1005994.jpg,00-CN-3394,0P-CLJJ9A,0.08934033382143877
1006025.jpg,04-W-415,P0RTL41R6E,0.8619034003415064
1059610.jpg,06-G-12439,LOGG,0.2181593269517232
1029572.jpg,91-G-6790,G79O,0.9954434633255005
1029650.jpg,231-D-45186,"2JI,OASI8G",0.46001733652790233
1029652.jpg,232-D-17482,2J2-O-7A82,0.31601184140384103
957516.jpg,02-CE-5694,O2-CE-SG9A,0.7981404182470462
1059644.jpg,161-L-2663,(1G12GGJ,0.12799869004274253
1059700.jpg,241-D-24258,2AID2A2S8,0.7631629058880602
1059723.jpg,172-G-2064,2OGA,0.9996543526649475
1059740.jpg,92-W-7010,92-H-7O1O,0.6089687395791704
1183637.jpg,04-RN-2211,22II,0.3701135516166687
1030425.jpg,91-WH-673,G7J,0.9979480430522976
1030465.jpg,91-G-16864,QR4T6R4L,0.00755507915524268
1007378.jpg,97-D-25019,97-D2SOI9,0.2770117476744801
996307.jpg,LH 48940,LHA89AO,0.7184882869791924
1030412.jpg,EE 82996,E8299G,0.979376173474478
1007306.jpg,AA 50689,44,0.991949025009809
1007317.jpg,KH 90284,9O28A,0.9998843654503079
1007331.jpg,ST 10605,5IOGUS,0.14031970645130581
1007335.jpg,CF 76904,CF7G9OA,0.9271251502684573
1007341.jpg,XV 66492,WWWN0RDV1KN0,0.9972486126742863
1007346.jpg,EE 19882,EEI9882,0.9275808582847173
1007351.jpg,BR 28539,BR28S29,0.9947187910336421
1007353.jpg,AS 32347,A5J2JA7,0.8722084369707003
1007354.jpg,RL 52544,S2SAA,0.9999929094990383
1007391.jpg,EF 10279,IO279,0.9999731840140172
1007405.jpg,AA 59357,44,0.9838683174980863
1007416.jpg,BT 43288,AJ288,0.9999975476469553
972404.jpg,CH 19859,I98S9,0.9997035800106477
816223.jpg,KH 68012,KHG8OI2,0.9641303194797988
972408.jpg,ZH 21710,2HA2I7IO],0.35129004761871563
972429.jpg,BT 92118,BT,0.8306017389259546
972456.jpg,DR 49108,DR,0.9998284666358797
972486.jpg,XK 30060,XK,0.9552911633198677
972509.jpg,HK 18110,I8IIO,0.9902928624198094
1161297.jpg,DL 86430,DL8GAJO,0.7917640716113443
972655.jpg,JV 30814,JO8IA,0.9999628947563066
1342295.jpg,ZE 61026,2PGIO2G,0.44063924595254644
973344.jpg,LY 88480,88A8O,0.8493607751628932
2071059.jpg,8217NT,RZMM,0.15670732460240924
2229840.jpg,RJB-F8,W45H1N6T0N,0.9998563673406327
973322.jpg,S71-KYD,O,0.21636091700986881
1215816.jpg,BG6-W544,TEXE5,0.16700408179337708
1215835.jpg,TMD 115,K1MDTLIS,0.029941943073331926
1215854.jpg,VTJ 357,N13;JS7,0.14750681754693887
889638.jpg,GLQ 7432,6L07AJ2,0.5297699097280103
1215867.jpg,UCZ 595,GJS,0.15037727377860177
2071067.jpg,FLL-8089,FLL&O9,0.1816386681335433
2229862.jpg,RJB-7,V1R61N14,0.9925201005143383
1122705.jpg,CALI4YA,C4L1AY4,0.2660334943933161
1122716.jpg,878-BHL,878-ET7,0.14723003401469362
1122742.jpg,23KPAP,KP1P,0.21329452097415924
1250548.jpg,UBP 815,@BPJ8IS],0.041045015129014054
973865.jpg,NI 5179,NSI79I,0.3863543184948708
973870.jpg,ACK 5,4CKS,0.335645726722744
973880.jpg,L29-NSN,29PN5M,0.1725238586854386
973888.jpg,9KW 853,9KH8SJ,0.4229422987803175
973895.jpg,NI 4225,2A22S,0.5669117518333386
973932.jpg,EV-3967,,
973960.jpg,NI 203,X2OJ,0.6765269041061401
1250561.jpg,VSA 530,1VS4JSJO,0.13397530178222633
1250574.jpg,LPS 173,LPS7J,0.02301411385676759
1250580.jpg,6968QP,G9G8OP,0.7811507057670919
864176.jpg,IVP 908,1VP9O8I,0.3750229039060718
